row_idx,sha256,is_malware,rl_fs_t
1952210,266401cb1c715b84162d65edecacea3451b0bd935dd6003580859b46c7685fc3,0,1512216480.0
6374740,7ffff6cc4d4614be49e1ad034907bf0f9fb2ef1192a57af6160b231f54934acf,1,1505007540.0
10201191,cd7347b20867f73f41aa8b6d5d83b7921d0b40d276848986f6832f401c846be3,1,1513419900.0
1968660,26b8e297c7a1790cd5b66a590da8939d89e8abac472b95c089fd9e2fb45658b3,1,1532486760.0
8039162,a1adab8886324b07efeb231973fa28a9749de59db80bd42d1aee0b3304ac506c,0,1532541360.0
7255094,91d59c183a0a9df49f2a140e61eb4009872590b5bb04cdcc5d8b55803752c0f3,1,1529577060.0
3175763,3f1fb6e073e383114f655f94f4ea6de5cd668f41c5e54f9bd4008df8a07783fb,0,1540123560.0
7385522,94754eb43e89ddcca392e3e412b4a73712a2d2fd1b648635be625b88628b4cc3,1,1513295880.0
3749789,4ac1cd5366455313dabe5204d62d844acf5bc3e515ed217910e3f072f59ff1cc,0,1537863660.0
7391327,949303042bd38c639ea9400e05f01f286e068a2cfb32052139124dd91166dadc,1,1531336860.0
6152867,7b83cb98a4df115b9980cad8cae3e6778774b3a0fe908aa32d10edb5aef85c53,1,1509690540.0
3391266,437de4af8aa3df57961ea3185a7503989b1d23e7f7aaa483ed8a6f5cf68e8078,1,1504568760.0
7477568,96524905923878584aed7c0fb0c18200a0a004151108ede3a9eb1bb5af6a0561,1,1518223140.0
1804093,236719ee106cb1805da3d2800c37fb82a72a7a92f3984139e5c4997bd885e322,1,1539154560.0
9849582,c6580637c3962fb30c25321651a26650e23dbdfad9e2bbd304dd833b442ba74b,1,1525278900.0
5278711,69d1af110742ad37b230ddf21829ac26c47d278f46d6f5131e4e261dae84dce5,0,1513603560.0
5936140,7721ab33900c9dc0869c694f1c4ec2a81caae08c49d85a0c50a838600b47e365,0,1538315940.0
2261352,2c9fde124e3091df705bfe659ab9d70eea64af2fa325c30935ddda7269218001,1,1511062140.0
6171855,7be70a9df6459c549ed033837b0c18bd8b4eedeb063c741340f119cfa908e4b2,1,1520438700.0
2340212,2e3be5e80fbe7378913b85179d7c8de9b7b8f14346b7b595c9f824038be6dd14,0,1541165700.0
